,skills,company_name,job_title,job_type,job_seniority,job_category,job_min_salary,job_max_salary,job_sal_type,job_description_p,job_description_li,job_requirement_p,job_requirement_li
17,"['management', 'leadership', 'strategy', 'strategic planning', 'business development', 'business strategy', 'marketing', 'start-ups', 'program management', 'sales', 'new business development', 'project management', 'product management', 'marketing strategy', 'team building', 'strategic partnerships', 'cross-functional team leadership', 'sales management', 'product development', 'risk management']",dbs bank ltd.,"vp / avp, senior data engineer, group consumer banking and big data analytics technology (180003l2)","permanent, full time","middle management, manager",banking and finance,"$7,000","$14,000",monthly,[None],"['design and implement key components for highly scalable, distributed data collection and analysis system built for handling petabytes of data in the cloud.\xa0', 'work with architects from other divisions contributing to this analytics system and mentor team members on best practices in backend infrastructure and distributed computing topics.\xa0', 'analyze source data and data flows, working with structured and unstructured data.', 'manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends', 'analyze and visualize diverse sources of data, interpret results in the business context and report results clearly and concisely.', 'apply data mining, nlp, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms.', 'work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products.', 'build and optimize classifiers using machine learning techniques and enhance data collection procedures that is relevant for building analytic systems.', 'discover data sources, get access to them, import them, clean them up, and make them “model-ready”. you need to be willing and able to do your own etl.', 'create and refine features from the underlying data. you’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeat.', 'run regular a/b tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders.']",[None],"['experience in big data and machine learning', 'the ability to work with loosely defined requirements and exercise your analytical skills to clarify questions, share your approach and build/test elegant solutions in weekly sprint/release cycles.', 'development experience in java/scala and pride in producing clean, maintainable code', 'practical experience in clustering high dimensionality data using a variety of approaches', 'real world experience in solving business problems by deploying one or more machine learning techniques', 'experience creating pipelines to analyze data, extracted features and updated models in production.', 'independence and self-reliance while being a pro-active team player with excellent communication skills.', 'hands-on development with key technologies including scala, spark, and other relevant distributed computing languages, frameworks, and libraries.\xa0', 'experience with distributed databases, such as cassandra, and the key issues affecting their performance and reliability.\xa0', 'experience using high-throughput, distributed message queueing systems such as kafka.', 'familiarity with operational technologies, including docker (required), chef, puppet, zookeeper, terraform, and ansible (preferred).\xa0', 'an ability to periodically deploy systems to on-prem environments.\xa0', 'mastery of key development tools such as git, and familiarity with collaboration tools such as jira and confluence or similar tools.\xa0', 'experience with teradata sql, exadata sql, t-sql', 'strong experience in graph and stream processing', 'experience in migrating sql from traditional rdbms to spark and bigdata technologies', 'experience in building language parsers using antlr, query optimizers and automatic code generation', 'in-depth knowledge of database internals and spark sql catalyst engine']"
18,"['management', 'leadership', 'strategy', 'strategic planning', 'business development', 'business strategy', 'marketing', 'start-ups', 'program management', 'sales', 'new business development', 'project management', 'product management', 'marketing strategy', 'team building', 'strategic partnerships', 'cross-functional team leadership', 'sales management', 'product development', 'risk management']",dbs bank ltd.,"vp / avp,  sr. frontend developer,  group consumer banking and big data analytics technology (180004f7","permanent, full time","middle management, manager",banking and finance,"$6,500","$15,000",monthly,"['key accountabilities', '\nresponsibilities', '\xa0']","['dbs consumer banking and group technology is looking for passionate frontend engineers to work on our in-house web framework for crafting and assembling our next generation consumer experiences.', 'if you are the kind of engineer who is passionate about bringing great experiences to life and love working in a collaborative environment with your product and experiences, then we want to talk to you.', 'develop applications following best practices of accessibility and test-driven development.', 'create reusable, testable, organized, efficient, and self-documenting code/components.', 'partner closely with design and product teams to craft product experiences while providing technical guidance and solutions\xa0', 'deliver code in a devops environment.', 'encourage code craftsmanship across team.', 'deliver code in an agile team environment.', 'lead code reviews to drive teams to the highest standards for web apps.', 'drive teams to follow clean code principles.']",[None],"['7+ years professional application/frontend development experience.', 'hands on experience on at least two of the following javascript frameworks  emberjs reactjs angular (1.x or >2) backbone dojo  ', 'emberjs', 'reactjs', 'angular (1.x or >2)', 'backbone', 'dojo', 'a sound understanding of redux, webpack, styled-components, es6, jest.', 'a solid experience building applications on top of restful apis.', 'nodejs experience', 'experience in ui testing and code quality tools (jasmine, mocha, cucumber, bdd, tdd, jslint, etc...)', 'understand the paradigms and techniques associated with web page performance and degradation; how to analyze, apply measures, and resolve bottlenecks', 'demonstrable experience in object oriented javascript without the use of a library or framework  able to explain advanced concepts native to the javascript language - understanding of ecma6 standards is a big plus able to follow best coding practice with javascript. ie: avoiding global variables, namespaces, modularity, inheritance, performance, closures \xa0  ', 'able to explain advanced concepts native to the javascript language - understanding of ecma6 standards is a big plus', 'able to follow best coding practice with javascript. ie: avoiding global variables, namespaces, modularity, inheritance, performance, closures \xa0', 'solid knowledge of algorithms, design patterns, and componentization approaches.', 'experience with cross-browser, cross-platform, and design constraints on the web.', 'experience with css pre-processors (sass, less)', 'ability to operate effectively both independently and within a team environment', 'cloud experience a big plus']"
19,"['data management', 'management', 'databases', 'microsoft office', 'project management', 'analysis', 'data analysis', 'clinical data management', 'sql', 'clinical trials', 'research', 'edc', 'leadership', 'program management', 'gcp', 'oracle clinical', 'information management', 'microsoft sql server', 'business analysis', 'earth science']",rio tinto singapore holdings pte. ltd.,delivery lead – singapore (pace analytics),permanent,manager,information technology,"$13,000","$17,000",monthly,"['delivery lead – singapore (pace analytics) ', '\xa0', 'about the role', 'we are looking for a delivery lead – singapore (pace analytics) to ensure that quality and timely products are delivered by pace analytics to the commercial organisation, and to work with the pace analytics delivery managers and project lead, consulting leaders and client leader to diagnose, scope, shape and deliver outstanding data analytics applications that solve complex business problems and impact the performance and effectiveness of business units.', 'this role is a great opportunity for a progressive and analytical professional to lead a high performing matrix team and contribute to the development of value creation opportunities within rio tinto. reporting to the senior director – pace analytics, you wil:']","['great opportunity to work with a global and diverse team', 'strong visibility and engagement with the key stakeholders ', 'team leadership position ', 'based in singapore, our global commercial hub ', 'develop and maintain relationships with the key commercial customers to ensure the projects prioritized are aligned with the commercial organisation.', 'work with pace leaders as well as directly with clients and supporting teams to identify, diagnose and solve critical problems with expertise in the fields of data science and data engineering. this includes adapting pace’s products as needed to work more effectively with the client’s systems.', 'coach pace leaders and key clients on the new fields of data analytics, building a competence through the team in data, data-based decision making, analytics methodologies and problem solving approaches.', 'support the setup, establishment and ongoing improvement of pace analytics', 'maintain and deliver data analytics resources for pace initiatives, including: \t working with the client leaders to understand their business engagements and the need for advanced analytics working with consulting leaders in delivering the required technical resources to deliver decision support tools and advanced analytics to solve complex problems working with and influencing is&t and other functions to develop the technology required to support the needs of the business for analytics. understanding and resourcing the portfolio of analytics projects for commercial  ', 'working with the client leaders to understand their business engagements and the need for advanced analytics', 'working with consulting leaders in delivering the required technical resources to deliver decision support tools and advanced analytics to solve complex problems', 'working with and influencing is&t and other functions to develop the technology required to support the needs of the business for analytics.', 'understanding and resourcing the portfolio of analytics projects for commercial', 'maintain and deliver excellence in knowledge management for analytics tools development through the use of collaboration tools and industry standard project documentation approaches', 'ensure adoption of tools delivered through pace analytics, building a competence in the quality of tools as well as the ability to change internal business processes in business units globally.']","['about you', 'to be successfully considered for this role, you will have:', '\xa0', 'it will also be beneficial if you have: ', '\xa0', 'where you will be working', 'pace consulting is a new internal management consultancy embedded within rio tinto’s growth and innovation (g&i) group. it will comprise a team of management consultants, focused on working with each part of the business on opportunities that will deliver the highest possible value. rio tinto is establishing pace to support the business in many areas where it has previously sought external management consulting expertise.', 'pace’s imperative is to support clients in identifying their top value levers through an end-to-end diagnostic; a sophisticated, quality analysis that is data-driven and uses value analytics, benchmarking and forecasting to identify key areas of focus and opportunity. between now and the end of 2017 the team working to establish pace consulting will focus on designing and creating the services, tools and methods to be used to support all parts of the business to maximise value.', '\xa0', 'about us', 'as pioneers in mining and metals, we produce materials essential to human progress.', 'our long history is filled with firsts. we’ve developed some of the world’s largest and best quality mines and operations, and our people work in around 35 countries across six continents. aluminium and copper, diamonds, gold and industrial minerals, iron ore, coal and uranium: our materials make up the world around us. you’ll find then in smartphones, planes, cars, hospitals and throughout your home.', '\xa0', 'creating an inclusive and diverse workforce', 'we are a diverse team of talented, enthusiastic individuals who foster a culture of inclusion. no matter how they may differ, our people share one thing in common. it’s a belief that work is more rewarding when we are accepted and valued for our differences, not judged by them. we all have something to contribute, and it’s this contribution that makes for a great organization and fulfilling career.', 'apply before 12th nov 2018 if you want to work with the latest technology and innovation, in an environment where we challenge you to drive positive change.', 'please note, in order to be successfully considered for a role you must complete all pre-screening questions.', '\xa0']","['tertiary qualified in engineering, business or other relevant field', 'at least 10 years of progressive experience in moving from execution to strategic levels\xa0 \xa0', 'experience in data analytics applications delivery', 'demonstrated ability to bring together diverse range of operational and technical skills, build a high performing team and deliver outstanding results', 'demonstrated capability in building solutions to problems', 'leadership experience in managing direct and indirect project teams.', 'demonstrated experience in project management, and working through a global networked organization in achieving results.', 'effective influencing skills when engaging with senior leaders internally and externally', 'ability to multitask, prioritise and organise a number of concurrent projects under tight timeframes', 'knowledge of commercial and logistics business, specifically for commodities is an asset', 'additional qualifications in mba']"
20,"['marketing', 'marketing strategy', 'management', 'sales', 'business development', 'strategy', 'lead generation', 'marketing communications', 'email marketing', 'leadership', 'online marketing', 'project management', 'salesforce.com', 'account management', 'new business development', 'program management', 'social media', 'crm', 'digital marketing', 'marketing management']",talend singapore pte. ltd.,marketing operations specialist,"permanent, full time",executive,marketing / public relations ,"$42,100","$57,900",annually,"['associate marketing operations analyst\xa0\n \n talend is a rapidly growing leader in the cloud, data and application integration space. we\xa0are a global company with offices in redwood city, paris, london, bonn, beijing, tokyo, singapore, sydney, and bangalore. our customers are thought leaders\xa0in\xa0data integration, cloud, and\xa0big data, and they represent\xa0some of the biggest and best\xa0names\xa0in retail, financial services, consumer products, and business services.', 'we enable data driven companies to be more effective at what they do by providing them with the tools, infrastructure, and guidance to make informed business decisions. our architecture and technology uniquely position us to take advantage of constant innovation in data and processing technologies, such as hadoop and spark. as a result, we provide the fastest, most scalable data integration platform in the industry, and we support big data natively.\xa0data, analytics, and predictable forecasts are becoming ever more important to us as our company reaches its next phase of maturity and reporting requirements.']",[None],"['the marketing operations specialist, based in singapore, is part of the demand generation marketing department and directly reports to the global marketing programs manager, based in california.\n \xa0', 'this is a hands-on role which will play an integral part in building operational structure of programs in marketo, help maintain data integrity, and overall support for the demand generation marketing team. training field marketing team when necessary on marketing automation and reporting processes, systems, and working cross-functionally with our sales operations team.', '\xa0', 'the role', '\xa0', 'requirements of the role', '\xa0', 'talend is an equal opportunity employer committed to making all employment decisions on the basis of merit, capability and equality of opportunity, and without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law, or any other characteristic that has no bearing on a person’s ability to perform his or her job.']","['develop/maintain templates in marketo to streamline the work and ensure best practices are being used', 'review and test existing marketing programs to optimize workflow and tracking', 'support the demand generation teams worldwide with any custom requirements they may have with regional programs.', 'seek out industry best practices and incorporate relevant ideas', 'work cross-functionally with the sales operations and reporting teams to ensure smooth flow of information between the teams', 'basic understanding of current online marketing concepts, strategy and best practices', '1-3 years of experience working in a b2b marketing or sales environment (preferred)', 'experience working with marketo, or other marketing automation tool a plus', 'familiarity with salesforce, or other crm', 'experience with data-input, data-cleansing and data-maintenance (preferred)', 'enthusiastic and passionate with a drive and desire to succeed', 'strongly detail-oriented with good analytical skills', 'very self-motivated as direct manager is in usa', 'open to frequent extended travel for training', 'able to work as part of the team or on own initiative', 'excellent communication and interpersonal skills with confidence in dealing with people of all levels', 'bachelor’s degree or equivalent experience']"
21,"['recruiting', 'executive search', 'technical recruiting', 'sourcing', 'talent acquisition', 'human resources', 'interviews', 'contract recruitment', 'recruitment advertising', 'management', 'talent management', 'hr consulting', 'permanent placement', 'screening resumes', 'business development', 'employer branding', 'training', 'performance management', 'graduate recruitment', 'negotiation']",talend singapore pte. ltd.,"senior recruiter, apac",permanent,senior executive,human resources ,"$5,000","$8,000",monthly,"['talend is a rapidly growing leader in the cloud, data and application integration space. we\xa0are a global company with offices in redwood city, paris, london, bonn, beijing, tokyo, singapore, sydney, and bangalore. our customers are thought leaders\xa0in\xa0data integration, cloud, and\xa0big data, and they represent\xa0some of the biggest and best\xa0names\xa0in retail, financial services, consumer products, and business services.', 'we enable data driven companies to be more effective at what they do by providing them with the tools, infrastructure, and guidance to make informed business decisions. our architecture and technology uniquely position us to take advantage of constant innovation in data and processing technologies, such as hadoop and spark. as a result, we provide the fastest, most scalable data integration platform in the industry, and we support big data natively.\xa0data, analytics, and predictable forecasts are becoming ever more important to us as our company reaches its next phase of maturity and reporting requirements.']",[None],"['senior recruiter, apac - base in singapore\xa0\n \n the team at talend is growing and we’re rapidly expanding in asiapac with office locations now in singapore, tokyo, bangalore, beijing and sydney. we are looking for a\xa0senior talent acquisition specialist\xa0to join our growing singapore office.', 'this is a key hire for our team. you will be playing a vital and very visible role in helping to attract and hire the best talent in the india market. this is a unique opportunity to get in early with a high growth technology company in a very impactful talent acquisition role.', '\xa0', 'what you’ll be working on:', '\xa0', 'a little about you:']","['partner\xa0with our hiring managers to execute on hiring goals and targets across asiapac, and into emerging markets in the region', 'own full-cycle recruiting for the region including req intake, writing job descriptions, posting open positions, sourcing, phone screening, scheduling interviews, gathering interview feedback, negotiating offers, etc.', 'oversee and manage various recruitment channels including linkedin recruiter, online job boards, and agencies including tracking and reporting of recruitment pipeline for all positions', 'provide talent advisory, support and guidance to hiring managers and candidates', 'support hiring managers by conducting reference checks and other activities as required', 'constantly improve recruiting processes', 'be knowledgeable about our business and why people should work here', 'manage the existing pipeline of candidates and identify what future opportunities they may be a fit for', 'this isn’t your first dance with recruiting in your career. you’ve got some serious moves – but always have a desire to learn and do more', 'you bring 6+ years of in-house recruiting experience for a fast-paced and growing technology and/or saas company, specifically supporting professional services and technical roles.', 'you have a clear understanding of the asiapac talent market conditions and know the requirements to hire in those markets (i.e. immigration policy, legal & compliance issues, and market compensation)', 'you understand and are very passionate about how critical a role of the recruiter is in growing a company', 'you view your working relationship with your hiring managers as a partnership and they consider you to be an extension of their team.', 'you know employment branding is important to attraction efforts, and you can creatively market the company and your open roles across a variety of platforms', 'you love the art of sourcing, and pride yourself on finding and engaging with talent others only hope to connect with.', 'you are constantly staying up-to-date on the latest recruiting trends and techniques.', 'you know how to leverage social recruiting resources and in-house tools to identify and recruit the very best candidates.', 'candidate experience is incredibly important to you – and you get how it can really impact the talent acquisition function', 'you believe that there is always a solution to any challenge– and work with your hiring manager as a true partner in engaging great talent', 'you are game to travel when required to get the job done', 'you thrive in a startup culture, and adapt to the changing needs of the business as we scale.\xa0', 'you are willing to pitch in and do what it takes to help your colleagues across the hr business partnering team in need of your expertise and partnership']"
22,"['management', 'leadership', 'project management', 'strategic planning', 'strategy', 'customer service', 'marketing', 'sales', 'change management', 'business strategy', 'training', 'program management', 'business development', 'team building', 'process improvement', 'marketing strategy', 'operations management', 'microsoft office', 'new business development', 'social media']",national car rentals (private) limited,"licensee manager, asia",full time,"senior management, middle management, manager",others,,,,[None],[None],[None],[None]
23,"['algorithms', 'machine learning', 'matlab', 'research', 'computer science', 'r&d', 'data mining', 'latex', 'c++', 'molecular biology', 'python', 'biotechnology', 'science', 'lifesciences', 'artificial intelligence', 'statistics', 'pattern recognition', 'c', 'simulations', 'image processing']",globesoft services pte. ltd.,research scientist - energy systems,permanent,professional,sciences / laboratory / r&d,"$6,000","$8,000",monthly,"['research scientist - data analytics for energy systems', ""we are hiring for our client a research scientist – data analytics for energy systems as part of their business expansion plans in singapore. our client is a world leading multinational engineering and electronics group. \xa0this role will be based in our client's\xa0singapore office, a regional\xa0representing the group's interests in southeast asia.\xa0"", '\xa0']",[None],"['your role:\xa0', '\xa0', 'what you need to excel in this role:\xa0', '\xa0', 'think you are the one? send your resume to abigail.chang@globesoft.com.sg now!', 'we regret to inform you that only shortlisted candidates will be notified. thank you.\xa0', '\xa0', 'ag 12c6296 reg r1441803\xa0']","['design and development of energy systems for small and medium sized industries', 'development of artificial intelligence based learning algorithms for energy management', 'control/sequential decision problems in power system planning and management, energy optimization, battery management, building energy management etc. with special emphasis on deep reinforcement learning', 'establish internal/external collaborations in the area of energy systems', 'scouting of latest trends and products for energy efficiency measures', 'outstanding phd degree in electrical/ computer science engineering/physics', 'expertise in markov decision processes, deep learning (neural networks) and reinforcement learning', 'expertise in related artificial intelligence concepts like: monte carlo tree search, policy gradients, actor-critic methods, model-based acceleration', 'experience with classical control theory, model predictive control, dynamic programming', 'strong communication and presentation skills and ability to develop network with internal/external partners', 'team player and ability to work in multi-cultural environment and global simultaneous engineering teams']"
24,"['security', 'information security', 'network security', 'computer security', 'vulnerability assessment', 'information security management', 'penetration testing', 'firewalls', 'risk management', 'ips', 'computer forensics', 'cissp', 'security audits', 'linux', 'analysis', 'disaster recovery', 'ids', 'security architecture design', 'intrusion detection', 'python']",ministry of home affairs,mha science & technology associate programme,full time,fresh/entry level,"information technology, public / civil service",,,,"['mha s&t associate programme', 'the ministry of home affairs (mha) aspires to be a world-class organisation in delivering safety and security for our people. in pursuing our mission to make singapore our safe and secure best home, we remain always constant and true to our core values of honour and unity.', 'the mha science &technology (s&t) associate programme is a programme designed for stem graduates with less than 3 years of work experience who are keen to improve singapore’s safety & security.', '\xa0', 'what we offer:', 'as an s&t associate, you will specialise in domains critical to safeguarding national security such as : (a)forensics, (b) chemical, biological, radiological, nuclear and explosives (cbrne), (c)biometrics & profiling, (d)sense-making & surveillance, (e)cybersecurity, (f)data analytics & artificial intelligence and (f) robotics and automation. associates will take on challenging projects in these domains under the guidance of senior domain practitioners and lead one greenfield project to build up your portfolio.\xa0 as you work with our home team departments (e.g. spf, scdf, sps, cnb, ica, hta), you will apply science & technology expertise to address safety and security challenges for singapore.\xa0 you will also benefit from professional development opportunities including training and overseas learning trips. in addition, each s&t associate will be personally mentored by a senior management mentor.', 'to better understand the types of science & technology work undertaken by the home team, please click here.', '\xa0', 'we are looking for:', '\xa0', 'join us:\nthe application for the mha s&t associate programme is open all year round.', 'when submitting your cv and other relevant documents for the application, please also upload a separate ms word file indicating:', '\xa0']","['applicants with stem disciplines/background preferred', 'applicants who have completed internships, projects or personal achievements which reflect a passion for science & technology work', 'applicants who possess skills relevant to the s&t domains', 'applicants who are technologically savvy and collaborative', 'your top 3 preferences for specialisation out of these 11 domains in rank order: (a)forensics, (b)chemical, biological, radiological, nuclear and explosives (cbrne), (c)biometrics & profiling, (d)sense-making & surveillance, (e)cybersecurity, (f)data analytics & artificial intelligence, (g) robotics & automation, (h) command, control, communications, computers & intelligence (c4i), (i)platforms, vehicles and weapons, (j) protective security and (k)human factors.', 'a short write-up of your passion for science and/or technology with specific examples of internships, projects, hackathons, other personal hobbies and tech skill-sets you possess.']",[],[]
25,"['r&d', 'molecular biology', 'biotechnology', 'lifesciences', 'biochemistry', 'science', 'drug discovery', 'research', 'cell culture', 'algorithms', 'matlab', 'machine learning', 'pharmaceutical industry', 'cell biology', 'chemistry', 'protein chemistry', 'simulations', 'assay development', 'data analysis', 'drug development']",company undisclosed,it research scientist (finance engineer),full time,professional,information technology,"$7,000to$12,000","$7,000",monthly,"['we maintain a strong team of financial modelling professionals, known as the financial modelling group (fmg), which is responsible for the ongoing research and development of all analytics underlying our platform.', '\xa0', 'responsibilities']","['fmgs mandate to deliver robust, scalable models and solutions requires a close working relationship with risk and quantitative analysis (rqa), the global investment teams and the product group', 'the candidate will be a key member of the fmg advanced data analytics group', 'the candidate will be performing machine learning research and creating tools and solutions in the finance space that can help our clients with their investment decisions', 'the position is for an experienced individual in the field of machine learning research with a focus on deep learning', 'in addition to providing subject matter expertise and the candidate should be comfortable with multiple programming languages and multiple frameworks and technologies to support the modelling requirements of the diverse nature and demands of the team']",['\xa0'],"['strong expertise in deep learning with solid understanding of different types of neural networks (e.g., reinforcement learning, deep q learning, etc.)', 'experience in applying deep learning to trade, risk, natural language processing, data mining, information theory, etc', 'proficient in programming in two or more languages such as python, r, lua, etc.', 'proven experience with major deep learning libraries (e.g., tensorflow, pytorch, caffe)', 'strong communication skills; ready to face off with finance and business subject matter experts on challenging problems', 'team-oriented, innovative, performance-driven, intellectually curious, and fiduciary mindset', 'experience with gpu (cuda) programming is a plus', 'experience with cloud platforms (aws, gcp, azure) is a plus', 'knowledge of parallel computing and distributed system (e.g., hadoop, spark, elasticsearch) is a plus']"
26,"['project planning', 'management', 'strategic planning', 'project management', 'leadership', 'microsoft office', 'social media', 'strategy', 'supply chain management', 'microsoft excel', 'marketing', 'urban planning', 'program management', 'supply chain', 'logistics', 'advertising', 'marketing strategy', 'customer service', 'digital marketing', 'research']",laminaar aviation infotech pte. ltd.,chief innovation officer,full time,senior management,information technology,,,,[None],"['adopt the latest and new technology initiatives (nti) and ensure that the same are incorporated promptly and effectively in the products and solutions offered by the company.\xa0\xa0', 'operations research and optimization (oro)\xa0', 'simulation models to evaluate, improve and analyze the efficacy of the oro models', 'big data analytics', 'machine learning based predictive analytics', 'cognitive technologies/ artificial intelligence/ deep learning', 'quantum computing', 'any other next‐generation and emerging information technology and advance computing initiatives that will ensure that the company’s products remain state‐of‐the‐art.\xa0', 'select and recruit a team of appropriate specialists/ analysts/ scientists/ consultants to undertake the above new technology initiatives. you shall be assisted by the hrd in this task.\xa0', 'ensure that the innovations based on new technology initiatives are seamlessly and promptly incorporated/ integrated into the mainstream products and solutions of the company, so as to achieve technical superiority over competition.\xa0\xa0', 'plan and budget all the research & development (r&d) and knowledge acquisition & learning (k&l) activities so that fin dept can make financial provisions for the same. track and monitor the budgeted activities to make optimum use of time and resources', 'any other latest information technology based research, development and innovation work that the board may assign you from time‐to‐time']","['qualification requirement :', '\xa0']","['master degree / doctorate in or science from reputated universities', '10 years releavant experience in operations research', 'worked closely with airline /\xa0 air transportation industry', 'heavy knowledge of aviation\xa0']"
27,"['integration', 'linux', 'virtualization', 'project management', 'cloud computing', 'data center', 'unix', 'systems engineering', 'vmware', 'windows server', 'servers', 'java', 'sql', 'security', 'management', 'testing', 'troubleshooting', 'software development', 'active directory', 'disaster recovery']",teralytics pte. ltd.,site reliability engineer,"permanent, full time",professional,engineering,"$6,000","$12,000",monthly,"['are you a passionate linux system engineer, or devops specialist interested in working for a highly agile and growing tech company? would you like to become part of a collaborative, data analytics start-up engaged with some of the largest and most interesting datasets in the world?', '\xa0', 'who are teralytics?', 'teralytics is a fast-growing technology start-up with great ambitions in supporting the emerging big data economy. our products transform the way industries, governments and our society works, utilising real-time data from over 350 million people across multiple countries.', 'we offer our employees unique learning opportunities and the chance to work with technologies such as ansible, docker, mesos, hadoop, scala and spark. teralytics is funded by international venture capital firms who previously invested in companies such as facebook, spotify, skype and airbnb.\xa0', '\xa0', 'your role']","['manage and monitor a multi-datacenter environment with an infrastructure as code methodology', 'build automation to prevent problem recurrence and to reduce deployment times and errors', 'participate in the designs of distributed systems architectures', 'ensure scalability, availability and performance of teralytics software stack', 'engage in service capacity planning and demand forecasting', 'maintain security, backup, and redundancy strategies']","['required experience:', 'beneficial:']","['ms degree in computer science or related technical field, or equivalent practical experience', 'proven working experience in deployment and fine-tuning of relational databases, in particular postgresql', 'proven working experience working with unix/linux systems', 'professional experience in managing complex backup solutions and destruction recovery plans', 'professional experience with monitoring and alerting systems (e.g., zabbix, nagios)', 'networking: experience with network theory e.g. tcp/ip, udp, icmp, etc., mac addresses, ip packets, dns, osi layers, and load balancing', 'experience in securing systems and firewall management (e.g., iptables, pf)', 'experience in management of distributed systems and technologies (e.g., apache mesos, marathon, hadoop/hdfs, ceph)', 'experience with automation software (e.g., ansible, puppet, chef)', 'experience with virtualization and containerization (e.g., docker, vagrant)', 'experience with service discovery (e.g., consul)', 'cloud experience, preferably in aws/gce']"
28,"['java', 'javascript', 'software development', 'c++', 'linux', 'software engineering', 'mysql', 'sql', 'xml', 'c', 'agile methodologies', 'python', 'c#', 'jquery', 'html', 'php', 'web services', 'css', 'git', 'eclipse']",6estates pte. ltd.,software engineer,full time,professional,information technology,"$4,000","$8,000",monthly,"[""we're looking for the right individual who has the passion and desire to crack the code for this very hot space in ai and big data."", '6estates engineers build tools and solutions that ensure the delivery of high quality software for our stakeholders. \xa0for someone who wants to learn and grow, this role provides you the unique opportunity to work along with all the experts of different fields. ', 'as a software engineer, you will work with team of talents to design, architect, and help to maintain enterprise solutions on the big data analytics platform. you will also touch on researching, introducing new technologies and ideas and integrating your amazing innovations and algorithms into our production systems.']",[None],"['minimum bachelor’s degree in computer science. ', 'excellent implementation skills in java, python, nodejs,c or \xa0c++ . ', 'expert knowledge of linux/unix programming.', 'experience in mysql, redis or other databases. ', 'experience in spring, hibernate or other java frameworks is a plus', 'good communication skills - fluent in chinese and english']","[' minimum bachelor’s degree in computer science.  ', ' excellent implementation skills in java, python, nodejs,c or \xa0c++ .  ', ' expert knowledge of linux/unix programming. ', ' experience in mysql, redis or other databases.  ', ' experience in spring, hibernate or other java frameworks is a plus ', ' good communication skills - fluent in chinese and english ']"
29,"['human resources', 'recruiting', 'employee engagement', 'employee relations', 'talent acquisition', 'talent management', 'performance management', 'hr policies', 'screening', 'performance appraisal', 'sourcing', 'hris', 'recruitments', 'personnel management', 'technical recruiting', 'management', 'benefits negotiation', 'interviews', 'training', 'hr consulting']",sin hiap mui pte. ltd.,human resource executive,full time,executive,human resources ,"$2,000","$3,000",monthly,[None],[None],[None],[None]
30,"['human resources', 'recruiting', 'employee engagement', 'employee relations', 'talent acquisition', 'talent management', 'performance management', 'hr policies', 'screening', 'performance appraisal', 'sourcing', 'hris', 'recruitments', 'personnel management', 'technical recruiting', 'management', 'benefits negotiation', 'interviews', 'training', 'hr consulting']",rpat pte. ltd.,human resource officer  /  executive,"part time, temporary, contract, full time, flexi work","manager, fresh/entry level, executive","human resources , information technology","$1,800","$2,800",monthly,"[""the human resource executive (performance and rewards) supports execution of performance management programmes, and compensation and benefits plans. he/she compares the organisation's compensation and benefits programmes with other organisations. he/she oversees the preparation of the payroll reports and works with benefits partners for claim disbursements.\n \n he/she ensures the accuracy of performance and compensation records in the systems, as well as ensuring regulations are followed. he/she performs data analytics and shares insights reports with senior members of the team.\n \n he/she works well in a team environment, and is able to communicate well with various stakeholders. he/she possesses an analytical mind and displays keen insight into data, using them to address issues and find solutions to work challenges.""]",[None],[None],[None]
31,"['product management', 'product development', 'management', 'product marketing', 'strategy', 'business development', 'marketing strategy', 'marketing', 'project management', 'business strategy', 'competitive analysis', 'cross-functional team leadership', 'start-ups', 'leadership', 'strategic planning', 'new business development', 'mobile devices', 'e-commerce', 'sales', 'strategic partnerships']",the edge property pte. ltd.,product manager,full time,manager,"advertising / media , information technology, real estate / property management","$5,000","$8,000",monthly,"['position: product manager', 'seniority level: mid – senior level', 'employment type: full time', '\xa0', 'job description:', 'you will need to develop products by identifying market needs and potential, matching platform capabilities to the gaps in the market. you will be responsible for ideation, design, testing, go-to-market strategy and relentless execution to deliver a product which achieve its objectives and kpis.', 'your responsibilities will include:']","['assess market needs and gaps through market research, focus group, data analytics, etc.', 'matching company capabilities to the market requirements to develop an overall value proposition.', 'obtain buy-ins from internal and external stakeholders on the value of the product.', 'manage resources to successfully roll out products on time.', 'collaborate with marketing to promote and highlight the product’s key features', 'achieve positive roi.', 'obtain market intelligence on competition.', 'obtain feedbacks to further refine and improve product']","['who are we looking for?', 'if you are passionate about developing and creating the coolest, most-innovative and spectacular products which users do not even know they need or want, this is the right job for you!']",[None]
